# z_BAO, mB_bar_BAO, mB_bar_BAO_err
0.106 19.09517958550714 0.00755896843094115
0.15 19.90900679960032 0.00656527117789878
0.295 21.54791359504452 0.005474552773026706
0.38 22.18062035719049 0.005967186227565753
0.51 22.92918015443138 0.007405612450558341
0.706 23.773501031537307 0.011010265577090459
0.85 24.263348416337976 0.014628998128276949
0.934 24.514171653718222 0.017022037487135714
1.321 25.448419160116956 0.02964100629484342
1.484 25.76580930266651 0.03538617927118362
2.33 27.012751425024867 0.0659218226398689
