z_BAO,mB_DV_bar_BAO,mB_DV_bar_BAO_err
1.059999999999999970e-01,1.913162093256766738e+01,4.865624191029738199e-02
1.499999999999999944e-01,1.989295868162727032e+01,2.876102546700742835e-02
2.949999999999999845e-01,2.156619466626474235e+01,2.750896131187730020e-02
